2015/05/02 22:24:03 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2015/05/02 22:24:03 INFO  - jmeter.services.FileServer: Close: login.txt 
2015/05/02 22:24:03 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2015/05/02 22:26:23 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2015/05/02 22:26:23 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2015/05/02 22:26:23 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2015/05/02 22:26:23 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Admin User 
2015/05/02 22:26:23 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Admin User. 
2015/05/02 22:26:23 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/05/02 22:26:23 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2015/05/02 22:26:23 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2015/05/02 22:26:23 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 2 : Student Login 
2015/05/02 22:26:23 INFO  - jmeter.engine.StandardJMeterEngine: Starting 10 threads for group Student Login. 
2015/05/02 22:26:23 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/05/02 22:26:23 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 2 threads 10 ramp-up 20 perThread 2000.0 delayedStart=false 
2015/05/02 22:26:23 INFO  - jmeter.threads.JMeterThread: Thread started: Admin User 1-1 
2015/05/02 22:26:23 INFO  - jmeter.services.FileServer: Stored: login.txt 
2015/05/02 22:26:23 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-1 
2015/05/02 22:26:23 INFO  - jmeter.threads.ThreadGroup: Started thread group number 2 
2015/05/02 22:26:23 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2015/05/02 22:26:25 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-2 
2015/05/02 22:26:27 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-3 
2015/05/02 22:26:29 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-4 
2015/05/02 22:26:31 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-5 
2015/05/02 22:26:33 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-6 
2015/05/02 22:26:35 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-7 
2015/05/02 22:26:37 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-8 
2015/05/02 22:26:39 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-9 
2015/05/02 22:26:41 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-10 
2015/05/02 22:26:49 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-1 
2015/05/02 22:26:56 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-3 
2015/05/02 22:27:05 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-6 
2015/05/02 22:27:10 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-10 
2015/05/02 22:27:10 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-7 
2015/05/02 22:27:13 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-2 
2015/05/02 22:27:13 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-4 
2015/05/02 22:27:13 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-5 
2015/05/02 22:27:13 INFO  - jmeter.threads.JMeterThread: Thread finished: Admin User 1-1 
2015/05/02 22:27:13 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-8 
2015/05/02 22:27:13 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-9 
2015/05/02 22:27:13 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2015/05/02 22:27:13 INFO  - jmeter.services.FileServer: Close: login.txt 
2015/05/02 22:27:13 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2015/05/02 22:32:12 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2015/05/02 22:32:12 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2015/05/02 22:32:12 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2015/05/02 22:32:12 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Admin User 
2015/05/02 22:32:12 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Admin User. 
2015/05/02 22:32:12 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/05/02 22:32:12 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2015/05/02 22:32:12 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2015/05/02 22:32:12 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 2 : Student Login 
2015/05/02 22:32:12 INFO  - jmeter.engine.StandardJMeterEngine: Starting 10 threads for group Student Login. 
2015/05/02 22:32:12 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/05/02 22:32:12 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 2 threads 10 ramp-up 20 perThread 2000.0 delayedStart=false 
2015/05/02 22:32:12 INFO  - jmeter.threads.JMeterThread: Thread started: Admin User 1-1 
2015/05/02 22:32:12 INFO  - jmeter.services.FileServer: Stored: login.txt 
2015/05/02 22:32:12 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-1 
2015/05/02 22:32:12 INFO  - jmeter.threads.ThreadGroup: Started thread group number 2 
2015/05/02 22:32:12 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2015/05/02 22:32:13 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-1 
2015/05/02 22:32:13 INFO  - jmeter.threads.JMeterThread: Thread finished: Admin User 1-1 
2015/05/02 22:32:14 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-2 
2015/05/02 22:32:15 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-2 
2015/05/02 22:32:16 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-3 
2015/05/02 22:32:17 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-3 
2015/05/02 22:32:18 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-4 
2015/05/02 22:32:19 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-4 
2015/05/02 22:32:20 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-5 
2015/05/02 22:32:22 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-6 
2015/05/02 22:32:23 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-6 
2015/05/02 22:32:24 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-7 
2015/05/02 22:32:25 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-7 
2015/05/02 22:32:26 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-8 
2015/05/02 22:32:26 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-5 
2015/05/02 22:32:27 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-8 
2015/05/02 22:32:28 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-9 
2015/05/02 22:32:29 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-9 
2015/05/02 22:32:30 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-10 
2015/05/02 22:32:31 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-10 
2015/05/02 22:32:31 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2015/05/02 22:32:31 INFO  - jmeter.services.FileServer: Close: login.txt 
2015/05/02 22:32:31 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2015/05/02 22:34:14 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2015/05/02 22:34:14 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2015/05/02 22:34:14 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2015/05/02 22:34:14 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Admin User 
2015/05/02 22:34:14 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Admin User. 
2015/05/02 22:34:14 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/05/02 22:34:14 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2015/05/02 22:34:14 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2015/05/02 22:34:14 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 2 : Student Login 
2015/05/02 22:34:14 INFO  - jmeter.engine.StandardJMeterEngine: Starting 10 threads for group Student Login. 
2015/05/02 22:34:14 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/05/02 22:34:14 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 2 threads 10 ramp-up 20 perThread 2000.0 delayedStart=false 
2015/05/02 22:34:14 INFO  - jmeter.threads.JMeterThread: Thread started: Admin User 1-1 
2015/05/02 22:34:14 INFO  - jmeter.services.FileServer: Stored: login.txt 
2015/05/02 22:34:14 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-1 
2015/05/02 22:34:14 INFO  - jmeter.threads.ThreadGroup: Started thread group number 2 
2015/05/02 22:34:14 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2015/05/02 22:34:15 INFO  - jmeter.threads.JMeterThread: Thread finished: Admin User 1-1 
2015/05/02 22:34:16 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-1 
